"iso_a0","adm_0_name","adm_1_name","adm_2_name","gaul_level","fao_gaul_code","t_res","calendar_start_date","calendar_end_date","year","dengue_total","case_definition_standardised"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-10-01,2004-10-31,2004,25,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-11-01,2004-11-30,2004,92,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-12-01,2004-12-31,2004,115,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-01-01,2005-01-31,2005,62,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-02-01,2005-02-28,2005,58,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-03-01,2005-03-31,2005,34,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-04-01,2005-04-30,2005,46,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-05-01,2005-05-31,2005,31,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-06-01,2005-06-30,2005,32,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-07-01,2005-07-31,2005,38,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-08-01,2005-08-31,2005,65,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-09-01,2005-09-30,2005,44,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-10-01,2005-10-31,2005,63,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-11-01,2005-11-30,2005,119,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-12-01,2005-12-31,2005,259,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-01-01,2006-01-31,2006,1600,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-02-01,2006-02-28,2006,2931,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-03-01,2006-03-31,2006,4280,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-04-01,2006-04-30,2006,2862,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-05-01,2006-05-31,2006,1323,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-06-01,2006-06-30,2006,482,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-07-01,2006-07-31,2006,188,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-08-01,2006-08-31,2006,157,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-09-01,2006-09-30,2006,91,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-10-01,2006-10-31,2006,114,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-11-01,2006-11-30,2006,159,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-12-01,2006-12-31,2006,432,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-01-01,2007-01-31,2007,260,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-02-01,2007-02-28,2007,598,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-03-01,2007-03-31,2007,776,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-04-01,2007-04-30,2007,773,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-05-01,2007-05-31,2007,691,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-06-01,2007-06-30,2007,313,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-07-01,2007-07-31,2007,225,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-08-01,2007-08-31,2007,120,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-09-01,2007-09-30,2007,92,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-10-01,2007-10-31,2007,90,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-11-01,2007-11-30,2007,227,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-12-01,2007-12-31,2007,390,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-01-01,2008-01-31,2008,11769,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-02-01,2008-02-29,2008,15336,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-03-01,2008-03-31,2008,39102,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-04-01,2008-04-30,2008,33460,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-05-01,2008-05-31,2008,7759,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-06-01,2008-06-30,2008,1184,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-07-01,2008-07-31,2008,449,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-08-01,2008-08-31,2008,228,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-09-01,2008-09-30,2008,216,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-10-01,2008-10-31,2008,312,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-11-01,2008-11-30,2008,603,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-12-01,2008-12-31,2008,1673,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-01-01,2009-01-31,2009,785,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-02-01,2009-02-28,2009,896,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-03-01,2009-03-31,2009,544,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-04-01,2009-04-30,2009,253,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-05-01,2009-05-31,2009,148,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-06-01,2009-06-30,2009,80,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-07-01,2009-07-31,2009,79,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-08-01,2009-08-31,2009,19,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-09-01,2009-09-30,2009,25,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-10-01,2009-10-31,2009,35,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-11-01,2009-11-30,2009,116,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2009-12-01,2009-12-31,2009,193,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-01-01,2010-01-31,2010,103,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-02-01,2010-02-28,2010,160,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-03-01,2010-03-31,2010,238,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-04-01,2010-04-30,2010,211,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-05-01,2010-05-31,2010,303,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-06-01,2010-06-30,2010,204,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-07-01,2010-07-31,2010,243,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-08-01,2010-08-31,2010,258,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-09-01,2010-09-30,2010,159,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-10-01,2010-10-31,2010,128,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-11-01,2010-11-30,2010,308,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2010-12-01,2010-12-31,2010,498,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-01-01,2011-01-31,2011,1731,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-02-01,2011-02-28,2011,6777,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-03-01,2011-03-31,2011,16451,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-04-01,2011-04-30,2011,26453,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-05-01,2011-05-31,2011,16479,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-06-01,2011-06-30,2011,4151,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-07-01,2011-07-31,2011,984,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-08-01,2011-08-31,2011,582,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-09-01,2011-09-30,2011,724,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-10-01,2011-10-31,2011,1119,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-11-01,2011-11-30,2011,1469,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2011-12-01,2011-12-31,2011,1807,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-01-01,2012-01-31,2012,5939,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-02-01,2012-02-29,2012,11981,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-03-01,2012-03-31,2012,27434,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-04-01,2012-04-30,2012,39762,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-05-01,2012-05-31,2012,31579,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-06-01,2012-06-30,2012,12223,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-07-01,2012-07-31,2012,3307,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-08-01,2012-08-31,2012,1802,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-09-01,2012-09-30,2012,817,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-10-01,2012-10-31,2012,817,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-11-01,2012-11-30,2012,821,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2012-12-01,2012-12-31,2012,1358,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-01-01,2013-01-31,2013,3996,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-02-01,2013-02-28,2013,8970,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-03-01,2013-03-31,2013,21396,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-04-01,2013-04-30,2013,22436,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-05-01,2013-05-31,2013,6854,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-06-01,2013-06-30,2013,1770,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-07-01,2013-07-31,2013,607,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-08-01,2013-08-31,2013,249,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-09-01,2013-09-30,2013,222,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-10-01,2013-10-31,2013,213,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-11-01,2013-11-30,2013,278,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2013-12-01,2013-12-31,2013,358,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2013-12-29,2014-01-04,2013,96,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-01-05,2014-01-11,2014,112,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-01-12,2014-01-18,2014,100,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-01-19,2014-01-25,2014,110,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-01-26,2014-02-01,2014,92,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-02-02,2014-02-08,2014,89,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-02-09,2014-02-15,2014,83,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-02-16,2014-02-22,2014,85,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-02-23,2014-03-01,2014,50,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-03-02,2014-03-08,2014,62,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-03-09,2014-03-15,2014,59,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-03-16,2014-03-22,2014,66,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-03-23,2014-03-29,2014,61,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-03-30,2014-04-05,2014,64,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-04-06,2014-04-12,2014,67,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-04-13,2014-04-19,2014,59,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-04-20,2014-04-26,2014,54,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-04-27,2014-05-03,2014,68,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-05-04,2014-05-10,2014,64,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-05-11,2014-05-17,2014,70,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-05-18,2014-05-24,2014,58,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-05-25,2014-05-31,2014,38,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-06-01,2014-06-07,2014,49,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-06-08,2014-06-14,2014,43,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-06-15,2014-06-21,2014,41,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-06-22,2014-06-28,2014,36,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-06-29,2014-07-05,2014,39,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-07-06,2014-07-12,2014,32,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-07-13,2014-07-19,2014,32,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-07-20,2014-07-26,2014,27,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-07-27,2014-08-02,2014,42,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-08-03,2014-08-09,2014,34,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-08-10,2014-08-16,2014,36,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-08-17,2014-08-23,2014,38,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-08-24,2014-08-30,2014,42,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-08-31,2014-09-06,2014,57,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-09-07,2014-09-13,2014,47,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-09-14,2014-09-20,2014,51,"probable"
